2 draft-ietf-mpls-3209-patherr-00.txt  cisco cisco olddog
4 draft-winterbottom-geopriv-deref-protocol-00.txt  andrew nsn columbia andrew andrew
1 draft-ietf-pce-manageability-requirements-00.txt  olddog
1 draft-templin-inetmtu-trivial-00.txt  boeing
1 draft-cheng-nsis-multihoming-00.txt  panasonic panasonic panasonic panasonic
3 draft-ietf-syslog-rfc3195bis-00.txt  rr dbc cisco
2 draft-lee-pce-wson-routing-wavelength-00.txt  huawei grotto-networking
2 draft-larson-dnsop-trust-anchor-00.txt  verisign ogud
1 draft-irtf-sam-hybrid-overlay-framework-00.txt  samrg
3 draft-kojo-tcpm-frto-eval-00.txt  hut nttdocomo nttdocomo nokia
6 draft-fielding-http-p2-semantics-00.txt  gbiv hp hp microsoft adobe microsoft mit
2 draft-archana-pimwg-pim-ping-00.txt  citrix cisco
1 draft-ietf-geopriv-binary-lci-00.txt  cisco cisco
1 draft-iab-dns-synthesis-concerns-00.txt  nlnetlabs
1 draft-ietf-ltans-dssc-00.txt  fraunhofer fraunhofer fraunhofer
2 draft-scott-netconf-monitoring-00.txt  nortel nortel cisco
2 draft-ietf-pce-pcep-xro-00.txt  ntt olddog
3 draft-munakata-sip-privacy-new-00.txt  ntt ntt-at ntt
1 draft-ietf-syslog-tc-mib-00.txt  cysols
3 draft-yangshi-capwap-base-mib-00.txt  h3c snmpinfo h3c
3 draft-kobayashi-ipfix-large-ps-00.txt  ntt ntt uni-erlangen uni-erlangen orange-ft
1 draft-doherty-keyprov-ct-kip-ws-00.txt  rsasecurity rsasecurity rsasecurity
2 draft-wang-avt-rtp-mvc-00.txt  nokia fhg
1 draft-miller-secsh-umac-00.txt  openssh openssh
2 draft-tewari-federated-fs-protocol-00.txt  ibm ibm netapp netapp
2 draft-marocco-p2psip-xpp-00.txt  telecomitalia sip-communicator
2 draft-norris-ical-venue-00.txt  eventful berkeley
1 draft-ng-nemo-ce-req-00.txt  panasonic
1 draft-ietf-mboned-mcast-arpa-00.txt  denic
3 draft-ietf-pwe3-mpls-transport-00.txt  cisco cisco cisco cisco UNKNOWN bt
3 draft-karthik-bmwg-ldp-convergence-meth-00.txt  cisco isocore verizon
4 draft-ietf-mediactrl-sip-control-framework-00.txt  ubiquitysoftware UNKNOWN hp radvision
3 draft-ekim-6lowpan-scenarios-00.txt  UNKNOWN tno UNKNOWN
1 draft-thomson-geopriv-location-dependability-00.txt  andrew andrew
2 draft-joshi-dhc-layer2-relay-agent-00.txt  infosys infosys infosys alcatel-lucent
1 draft-nikander-ram-generix-proxying-00.txt  ericsson
2 draft-pskim-netlmm-fastpmip6-00.txt  kpu kt kt
1 draft-nsis-ext-00.txt  nokia
2 draft-bernardos-autoconf-backbone-mesh-reqs-00.txt  uc3m uc3m uc3m nec
1 draft-hallambaker-domain-centric-00.txt  verisign
